Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2017-12-29,364.2,365.9,359.7,363.0,,3036.0,1100155.0,,,
2017-12-28,363.65,368.0,363.2,365.15,,3812.0,1393139.0,,,
2017-12-27,369.1,369.1,361.65,364.35,,3840.0,1399683.0,,,
2017-12-22,370.0,370.0,364.4,366.9,,4114.0,1510022.0,,,
2017-12-21,377.0,378.65,368.8,369.2,,5033.0,1872766.0,,,
2017-12-20,377.85,379.6,373.95,375.9,,8378.0,3155994.0,,,
2017-12-19,376.3,380.75,374.8,377.2,,10547.0,3985379.0,,,
2017-12-18,375.0,378.75,372.65,375.0,,10644.0,3998656.0,,,
2017-12-15,360.0,371.15,358.9,371.15,,12422.0,4577614.0,,,
2017-12-14,363.85,364.3,358.3,359.35,,4937.0,1780073.0,,,
2017-12-13,367.3,368.1,363.45,365.85,,4290.0,1567721.0,,,
2017-12-12,369.3,371.45,366.0,368.25,,3823.0,1407838.0,,,
2017-12-11,372.95,373.2,368.7,370.1,,2818.0,1042167.0,,,
2017-12-08,376.6,378.9,370.85,373.0,,7168.0,2680885.0,,,
2017-12-07,376.55,377.0,373.65,376.3,,4465.0,1678099.0,,,
2017-12-06,374.9,375.85,371.8,375.4,,4704.0,1762631.0,,,
2017-12-05,377.5,379.0,374.65,377.6,,7428.0,2800352.0,,,
2017-12-04,373.05,380.55,372.0,377.1,,4406.0,1662073.0,,,
2017-12-01,373.75,376.2,369.45,373.1,,9476.0,3533488.0,,,
2017-11-30,376.9,376.9,372.6,374.0,,10252.0,3837424.0,,,
2017-11-29,377.55,382.55,374.35,376.35,,9023.0,3415568.0,,,
2017-11-28,376.85,380.0,375.8,378.0,,5537.0,2092518.0,,,
2017-11-27,376.35,379.65,375.0,377.5,,4145.0,1564635.0,,,
2017-11-24,381.4,385.25,377.55,378.45,,7037.0,2678076.0,,,
2017-11-23,381.05,384.0,378.05,381.4,,4504.0,1716434.0,,,
2017-11-22,388.15,389.0,381.85,383.0,,5672.0,2182745.0,,,
2017-11-21,388.4,389.0,385.75,388.3,,6090.0,2361240.0,,,
2017-11-20,386.05,389.8,384.65,388.3,,8330.0,3230446.0,,,
2017-11-17,383.85,386.05,381.15,385.75,,7811.0,3002190.0,,,
2017-11-16,380.5,382.85,376.65,382.85,,7541.0,2871711.0,,,
2017-11-15,376.0,378.05,369.75,377.9,,8975.0,3366233.0,,,
2017-11-14,380.0,383.9,375.95,377.45,,10159.0,3839673.0,,,
2017-11-13,377.0,381.55,374.0,379.95,,7975.0,3017930.0,,,
2017-11-10,379.2,381.85,374.85,375.0,,20135.0,7611311.0,,,
2017-11-09,388.6,389.5,369.6,379.1,,14025.0,5337865.0,,,
2017-11-08,394.1,395.6,386.45,390.0,,9146.0,3567056.0,,,
2017-11-07,393.2,395.75,390.5,391.4,,22171.0,8721217.0,,,
2017-11-06,389.0,393.45,386.65,391.15,,12561.0,4908258.0,,,
2017-11-03,387.9,391.6,383.95,384.15,,8550.0,3310747.0,,,
2017-11-02,386.3,390.55,380.4,385.2,,20653.0,7957545.0,,,
2017-11-01,390.0,390.0,386.0,386.7,,16370.0,6360191.0,,,
2017-10-30,383.5,392.2,378.85,388.6,,20066.0,7772983.0,,,
2017-10-27,380.1,385.0,376.45,381.5,,15874.0,6042082.0,,,
2017-10-26,367.95,380.0,366.9,378.4,,22148.0,8286792.0,,,
2017-10-25,359.5,368.75,357.85,366.85,,16979.0,6185231.0,,,
2017-10-24,352.45,362.0,338.2,357.6,,23280.0,8232877.0,,,
2017-10-23,351.0,353.3,348.6,351.3,,7772.0,2727950.0,,,
2017-10-20,347.8,353.05,342.65,348.7,,16116.0,5599096.0,,,
2017-10-19,356.7,357.75,343.7,344.05,,17402.0,6086641.0,,,
2017-10-18,340.2,358.6,336.8,352.75,,24622.0,8639858.0,,,
2017-10-17,337.0,339.8,335.0,339.0,,3961.0,1337833.0,,,
2017-10-16,333.8,341.7,333.8,334.7,,11751.0,3956915.0,,,
2017-10-13,333.15,335.0,331.9,335.0,,4248.0,1418374.0,,,
2017-10-12,332.8,335.0,332.65,333.85,,2987.0,996549.0,,,
2017-10-11,335.3,336.4,334.35,334.8,,3632.0,1217883.0,,,
2017-10-10,333.0,339.15,329.35,336.2,,10942.0,3655508.0,,,
2017-10-09,327.3,332.7,327.3,332.25,,6144.0,2035156.0,,,
2017-10-06,329.4,330.25,325.9,327.95,,5340.0,1751624.0,,,
2017-10-05,325.1,329.4,325.1,329.15,,6483.0,2127016.0,,,
2017-10-04,329.3,329.3,325.35,326.4,,5785.0,1892253.0,,,
2017-10-02,329.3,330.65,328.0,329.15,,3704.0,1218936.0,,,
2017-09-29,324.4,330.55,323.35,329.3,,8910.0,2925807.0,,,
2017-09-28,327.15,328.45,323.55,324.4,,4113.0,1337974.0,,,
2017-09-27,331.3,332.45,326.3,327.5,,2552.0,836905.0,,,
2017-09-26,332.9,333.05,330.65,331.15,,3292.0,1091325.0,,,
2017-09-25,336.1,337.0,330.7,333.05,,10607.0,3539827.0,,,
